"classification_name","classification_code","company_id"
Regional Systems Integrator,RSI,37034
Regional Systems Integrator,RSI,37036
Value Added Reseller,VAR,37037
Independent Software Vendor,ISV,37037
Regional Systems Integrator,RSI,37038
Independent Software Vendor,ISV,37039
Independent Software Vendor,ISV,37040
Value Added Reseller,VAR,37045
Independent Software Vendor,ISV,37045
Independent Software Vendor,ISV,37046
Regional Systems Integrator,RSI,37048
Independent Software Vendor,ISV,37052
Independent Software Vendor,ISV,37055
Regional Systems Integrator,RSI,37056
Managed Service Provider,MSP,37057
Cloud Service Provider,CSP,37057
Independent Software Vendor,ISV,37057
Cloud Service Provider,CSP,37060
Value Added Reseller,VAR,37060
Independent Software Vendor,ISV,37060
Regional Systems Integrator,RSI,37063
Managed Service Provider,MSP,37064
Independent Software Vendor,ISV,37064
Regional Systems Integrator,RSI,37064
Independent Software Vendor,ISV,37065
Independent Software Vendor,ISV,37066
Regional Systems Integrator,RSI,37067
Value Added Reseller,VAR,37068
Independent Software Vendor,ISV,37068
Regional Systems Integrator,RSI,37068
Regional Systems Integrator,RSI,37072
Regional Systems Integrator,RSI,37073
Managed Service Provider,MSP,37076
Value Added Reseller,VAR,37076
Independent Software Vendor,ISV,37076
Regional Systems Integrator,RSI,37076
Independent Software Vendor,ISV,37077
Value Added Reseller,VAR,37080
Independent Software Vendor,ISV,37080
Regional Systems Integrator,RSI,37080
Regional Systems Integrator,RSI,37081
Regional Systems Integrator,RSI,37082
Independent Software Vendor,ISV,37083
Independent Software Vendor,ISV,37085
Regional Systems Integrator,RSI,37089
Cloud Service Provider,CSP,37090
Independent Software Vendor,ISV,37090
Regional Systems Integrator,RSI,37090
Independent Software Vendor,ISV,37091
Regional Systems Integrator,RSI,37093
Independent Software Vendor,ISV,37094
Independent Software Vendor,ISV,37095
Value Added Reseller,VAR,37096
Independent Software Vendor,ISV,37096
Independent Software Vendor,ISV,37097
Independent Software Vendor,ISV,37099
Independent Software Vendor,ISV,37100
Regional Systems Integrator,RSI,37100
Regional Systems Integrator,RSI,37101
Regional Systems Integrator,RSI,37103
Value Added Reseller,VAR,37106
Independent Software Vendor,ISV,37106
Value Added Reseller,VAR,37108
Independent Software Vendor,ISV,37108
Independent Software Vendor,ISV,37111
Independent Software Vendor,ISV,37112
Managed Service Provider,MSP,37119
Cloud Service Provider,CSP,37119
Independent Software Vendor,ISV,37119
Regional Systems Integrator,RSI,37119
Regional Systems Integrator,RSI,37122
Independent Software Vendor,ISV,37123
Regional Systems Integrator,RSI,37123
Regional Systems Integrator,RSI,37124
Regional Systems Integrator,RSI,37125
Independent Software Vendor,ISV,37128
Regional Systems Integrator,RSI,37129
Value Added Reseller,VAR,37131
Value Added Reseller,VAR,37133
Independent Software Vendor,ISV,37134
Regional Systems Integrator,RSI,37134
Independent Software Vendor,ISV,37135
Managed Service Provider,MSP,37139
Regional Systems Integrator,RSI,37140
Regional Systems Integrator,RSI,37144
Independent Software Vendor,ISV,37145
Cloud Service Provider,CSP,37146
Independent Software Vendor,ISV,37147
Regional Systems Integrator,RSI,37148
Regional Systems Integrator,RSI,37151
Value Added Reseller,VAR,37152
Independent Software Vendor,ISV,37152
Regional Systems Integrator,RSI,37153
Value Added Reseller,VAR,37155
Independent Software Vendor,ISV,37155
Regional Systems Integrator,RSI,37155
Independent Software Vendor,ISV,37156
Independent Software Vendor,ISV,37157
Managed Service Provider,MSP,37159
Cloud Service Provider,CSP,37159
Value Added Reseller,VAR,37159
Independent Software Vendor,ISV,37159
Regional Systems Integrator,RSI,37159
Regional Systems Integrator,RSI,37161
Regional Systems Integrator,RSI,37163
Regional Systems Integrator,RSI,37164
Value Added Reseller,VAR,37165
Cloud Service Provider,CSP,37166
Value Added Reseller,VAR,37166
Independent Software Vendor,ISV,37166
Regional Systems Integrator,RSI,37166
Managed Service Provider,MSP,37167
Cloud Service Provider,CSP,37167
Value Added Reseller,VAR,37167
Independent Software Vendor,ISV,37167
Regional Systems Integrator,RSI,37167
Value Added Reseller,VAR,37168
Value Added Reseller,VAR,37169
Independent Software Vendor,ISV,37169
Regional Systems Integrator,RSI,37169
Regional Systems Integrator,RSI,37170
Independent Software Vendor,ISV,37171
Independent Software Vendor,ISV,37172
Value Added Reseller,VAR,37173
Independent Software Vendor,ISV,37173
Independent Software Vendor,ISV,37174
Regional Systems Integrator,RSI,37174
Regional Systems Integrator,RSI,37175
Value Added Reseller,VAR,37176
Independent Software Vendor,ISV,37176
Managed Service Provider,MSP,37177
Cloud Service Provider,CSP,37177
Independent Software Vendor,ISV,37177
Regional Systems Integrator,RSI,37178
Regional Systems Integrator,RSI,37179
Independent Software Vendor,ISV,37181
Independent Software Vendor,ISV,37184
Independent Software Vendor,ISV,37185
Independent Software Vendor,ISV,37186
Regional Systems Integrator,RSI,37187
Cloud Service Provider,CSP,37188
Value Added Reseller,VAR,37188
Independent Software Vendor,ISV,37188
Independent Software Vendor,ISV,37189
Regional Systems Integrator,RSI,37189
Value Added Reseller,VAR,37191
Independent Software Vendor,ISV,37191
Cloud Service Provider,CSP,37192
Independent Software Vendor,ISV,37192
Regional Systems Integrator,RSI,37192
Regional Systems Integrator,RSI,37194
Regional Systems Integrator,RSI,37195
Regional Systems Integrator,RSI,37196
Independent Software Vendor,ISV,37197
Independent Software Vendor,ISV,37200
Independent Software Vendor,ISV,37201
Independent Software Vendor,ISV,37202
Regional Systems Integrator,RSI,37204
Independent Software Vendor,ISV,37207
Independent Software Vendor,ISV,37210
Value Added Reseller,VAR,37211
Independent Software Vendor,ISV,37212
Managed Service Provider,MSP,37213
Independent Software Vendor,ISV,37213
Regional Systems Integrator,RSI,37213
Regional Systems Integrator,RSI,37214
Independent Software Vendor,ISV,37215
Value Added Reseller,VAR,37216
Independent Software Vendor,ISV,37216
Regional Systems Integrator,RSI,37219
Independent Software Vendor,ISV,37220
Value Added Reseller,VAR,37226
Independent Software Vendor,ISV,37226
Independent Software Vendor,ISV,37227
Value Added Reseller,VAR,37229
Independent Software Vendor,ISV,37229
Cloud Service Provider,CSP,37230
Independent Software Vendor,ISV,37233
Managed Service Provider,MSP,37234
Independent Software Vendor,ISV,37234
Independent Software Vendor,ISV,37235
Regional Systems Integrator,RSI,37236
Independent Software Vendor,ISV,37237
Regional Systems Integrator,RSI,37239
Managed Service Provider,MSP,37240
Independent Software Vendor,ISV,37240
Regional Systems Integrator,RSI,37240
Regional Systems Integrator,RSI,37241
Independent Software Vendor,ISV,37242
Regional Systems Integrator,RSI,37243
Value Added Reseller,VAR,37244
Independent Software Vendor,ISV,37244
Regional Systems Integrator,RSI,37244
Value Added Reseller,VAR,37245
Independent Software Vendor,ISV,37245
Regional Systems Integrator,RSI,37245
Regional Systems Integrator,RSI,37246
Managed Service Provider,MSP,37248
Cloud Service Provider,CSP,37248
Value Added Reseller,VAR,37248
Independent Software Vendor,ISV,37248
Regional Systems Integrator,RSI,37248
Regional Systems Integrator,RSI,37250
Regional Systems Integrator,RSI,37251
Regional Systems Integrator,RSI,37252
Managed Service Provider,MSP,37253
Value Added Reseller,VAR,37253
Independent Software Vendor,ISV,37253
Regional Systems Integrator,RSI,37253
Value Added Reseller,VAR,37254
Independent Software Vendor,ISV,37254
Independent Software Vendor,ISV,37255
Managed Service Provider,MSP,37256
Value Added Reseller,VAR,37256
Independent Software Vendor,ISV,37256
Regional Systems Integrator,RSI,37256
Value Added Reseller,VAR,37261
Managed Service Provider,MSP,37262
Value Added Reseller,VAR,37262
Independent Software Vendor,ISV,37262
Regional Systems Integrator,RSI,37263
Independent Software Vendor,ISV,37264
Regional Systems Integrator,RSI,37266
Value Added Reseller,VAR,37268
Independent Software Vendor,ISV,37269
Independent Software Vendor,ISV,37270
Value Added Reseller,VAR,37275
Independent Software Vendor,ISV,37275
Regional Systems Integrator,RSI,37275
Independent Software Vendor,ISV,37276
Regional Systems Integrator,RSI,37276
Value Added Reseller,VAR,37278
Independent Software Vendor,ISV,37278
Regional Systems Integrator,RSI,37278
Value Added Reseller,VAR,37280
Independent Software Vendor,ISV,37280
Cloud Service Provider,CSP,37281
Value Added Reseller,VAR,37281
Independent Software Vendor,ISV,37281
Managed Service Provider,MSP,37282
Cloud Service Provider,CSP,37282
Independent Software Vendor,ISV,37282
Regional Systems Integrator,RSI,37282
Independent Software Vendor,ISV,37283
Value Added Reseller,VAR,37284
Independent Software Vendor,ISV,37284
Value Added Reseller,VAR,37290
Independent Software Vendor,ISV,37290
Independent Software Vendor,ISV,37294
Independent Software Vendor,ISV,37295
Regional Systems Integrator,RSI,37296
Regional Systems Integrator,RSI,37297
Regional Systems Integrator,RSI,37300
Cloud Service Provider,CSP,37302
Cloud Service Provider,CSP,37306
Independent Software Vendor,ISV,37306
Regional Systems Integrator,RSI,37307
Value Added Reseller,VAR,37325
Independent Software Vendor,ISV,37325
Independent Software Vendor,ISV,37326
Regional Systems Integrator,RSI,37326
Managed Service Provider,MSP,37328
Independent Software Vendor,ISV,37328
Regional Systems Integrator,RSI,37328
Independent Software Vendor,ISV,37331
Value Added Reseller,VAR,37333
Independent Software Vendor,ISV,37333
Managed Service Provider,MSP,37334
Value Added Reseller,VAR,37334
Independent Software Vendor,ISV,37334
Regional Systems Integrator,RSI,37334
Regional Systems Integrator,RSI,37335
Regional Systems Integrator,RSI,37337
Regional Systems Integrator,RSI,37338
Cloud Service Provider,CSP,37339
Value Added Reseller,VAR,37339
