"parent_industry","industry","company_id"
Construction,Construction,75918
Construction,Construction,75921
Education,Education,75921
Discrete Manufacturing,Other Discrete Manufacturing,75921
Construction,Construction,75924
Banking,Banking and Financial Services,75927
Construction,Construction,75928
Education,Education,75929
Construction,Construction,75931
Transportation,Transportation,75931
Banking,Banking and Financial Services,75936
Construction,Construction,75936
Retail,Retail,75936
Media,Media,75937
Education,Education,75937
Retail,Retail,75937
Federal/Central Government,Federal/Central Government,75939
Insurance,Insurance Carriers,75939
Discrete Manufacturing,Other Discrete Manufacturing,75939
Retail,Retail,75949
Retail,Retail,75950
Utilities,Utilities,75951
Media,Media,75952
Utilities,Utilities,75956
Banking,Banking and Financial Services,75956
Banking,Banking and Financial Services,75960
Education,Education,75960
Education,Education,75965
Banking,Banking and Financial Services,75966
Professional Services,Business Services,75967
Professional Services,Software and IT Services,75968
Education,Education,75968
Professional Services,Business Services,75970
Retail,Other Retail,75970
Education,Education,75970
Retail,Retail,75970
Utilities,Utilities,75973
Banking,Banking and Financial Services,75973
Transportation,Transportation,75973
Retail,Retail,75973
Construction,Construction,75975
Education,Education,75979
Utilities,Utilities,75984
Banking,Banking and Financial Services,75984
Retail,Retail,75984
Utilities,Utilities,75989
Discrete Manufacturing,Automotive,75989
Retail,Retail,75989
Construction,Construction,75990
Education,Education,75994
Professional Services,Business Services,75995
Professional Services,Software and IT Services,75995
Construction,Construction,75996
Utilities,Utilities,75998
Retail,Other Retail,75998
Telecommunications,Communications Services,75998
Insurance,Insurance Carriers,75998
Banking,Banking and Financial Services,76000
Media,Media,76001
Discrete Manufacturing,Automotive,76001
Education,Education,76001
Transportation,Transportation,76001
Education,Education,76008
Utilities,Utilities,76010
Retail,Retail,76010
Professional Services,Software and IT Services,76011
Wholesale,Wholesale and Distribution,76012
Education,Education,76012
Transportation,Transportation,76012
Retail,Retail,76012
Discrete Manufacturing,Automotive,76013
Construction,Construction,76013
Transportation,Transportation,76016
Retail,Retail,76016
Education,Education,76017
Retail,Retail,76017
Retail,Retail,76019
Construction,Construction,76020
Retail,Retail,76023
Education,Education,76028
Banking,Banking and Financial Services,76033
Education,Education,76033
Banking,Banking and Financial Services,76035
Education,Education,76035
Education,Education,76043
Construction,Construction,76050
Retail,Retail,76050
Banking,Banking and Financial Services,76052
Construction,Construction,76055
Education,Education,76056
Utilities,Utilities,76057
