"third_platform_category","third_platform_detail","company_id"
Pillars,Social,14103
Innovation Accelerators,Next Generation Security,14108
Pillars,Social,14111
Pillars,Social,14114
Pillars,Social,14117
Pillars,Social,14121
Innovation Accelerators,Robotics,14128
Innovation Accelerators,Artificial Intelligence Systems,14129
Pillars,Social,14135
Innovation Accelerators,Artificial Intelligence Systems,14137
Pillars,Social,14138
Pillars,Social,14139
Innovation Accelerators,Internet of Things (IoT),14139
Innovation Accelerators,AR/VR,14141
Innovation Accelerators,Internet of Things (IoT),14151
Innovation Accelerators,Blockchain,14151
Pillars,Social,14154
Pillars,Social,14155
Innovation Accelerators,Internet of Things (IoT),14155
Innovation Accelerators,Artificial Intelligence Systems,14158
Innovation Accelerators,Internet of Things (IoT),14161
Pillars,Social,14165
Innovation Accelerators,Blockchain,14165
Pillars,Social,14169
Pillars,Social,14171
Innovation Accelerators,Artificial Intelligence Systems,14174
Pillars,Social,14175
Pillars,Social,14189
Pillars,Social,14197
Pillars,Social,14198
Pillars,Social,14200
Pillars,Social,14213
Innovation Accelerators,Artificial Intelligence Systems,14213
Pillars,Social,14218
Innovation Accelerators,Internet of Things (IoT),14218
Pillars,Social,14219
Pillars,Social,14231
Innovation Accelerators,Artificial Intelligence Systems,14232
Innovation Accelerators,Artificial Intelligence Systems,14241
Innovation Accelerators,Artificial Intelligence Systems,14259
Pillars,Social,14262
Innovation Accelerators,Blockchain,14262
Pillars,Social,14263
Pillars,Social,14269
Innovation Accelerators,Next Generation Security,14270
Innovation Accelerators,AR/VR,14272
Pillars,Social,14276
Innovation Accelerators,AR/VR,14279
Pillars,Social,14282
Pillars,Social,14283
Innovation Accelerators,Internet of Things (IoT),14283
Innovation Accelerators,Robotics,14283
Pillars,Social,14285
Pillars,Social,14286
Pillars,Social,14294
Innovation Accelerators,AR/VR,14294
Pillars,Social,14304
Pillars,Social,14306
Innovation Accelerators,Next Generation Security,14311
Innovation Accelerators,Artificial Intelligence Systems,14314
Pillars,Social,14315
Pillars,Social,14317
Innovation Accelerators,Blockchain,14324
Pillars,Social,14325
Pillars,Social,14332
Pillars,Social,14341
Pillars,Social,14359
Pillars,Social,14362
Pillars,Social,14380
Innovation Accelerators,Robotics,14383
Pillars,Social,14395
Innovation Accelerators,AR/VR,14398
Pillars,Social,14399
Pillars,Social,14402
Innovation Accelerators,AR/VR,14426
Innovation Accelerators,Artificial Intelligence Systems,14428
Pillars,Social,14433
Innovation Accelerators,Internet of Things (IoT),14433
